,STATUS,SIMPLIFY,COMPANY,CATEGORY,TITLE,TYPE,URL,CITY,STATE,COUNTRY,TIME_CREATED
0,Need to Apply,False,Lenovo,SWE,"Solutions Software Engineer Intern - Summer 2024
",In-person,https://jobs.lenovo.com/en_US/careers/JobDetail/Solutions-Software-Engineer-Intern-Summer-2024/55407,Bellevue,WA,USA,2024-03-16
1,Need to Apply,False,Github,SWE,Software Engineer Intern,Remote,https://www.github.careers/careers-home/jobs/2787/job?utm_source=MarkBenliyan&iis=Job Board&iisn=Mark,,,USA,2024-03-16
2,Need to Apply,False,Soundcloud,Web Dev,Web Engineering Intern,In-person,https://boards.greenhouse.io/soundcloud71/jobs/7286241002,Los Angeles,CA,USA,2024-03-16
3,"Need to Apply,Applied",False,Rubrik,SWE,Customer Support Intern,Hybrid,https://app.ripplematch.com/v2/student/applications/applied,Morrisville,NC,USA,2024-03-15
4,Need to Apply,False,Dialouge,SWE,Software Engineer Intern,In-person,https://boards.greenhouse.io/dialoguehealthtechnologiesinc/jobs/5121523004?utm_medium=email&utm_source=Simplify&gh_src=Simplify#app,Montreal,QC,CAN,2024-03-15
5,"Need to Apply,Applied",False,Think Cell,SWE,C++ Internship (f/m/d),In-person,https://www.think-cell.com/en/career/jobs/cpp_internship?ec=vXfYZfMIH8LTtsUECmpmyJ9IAevlTcXJPD9M3MuF7pTc44T8ShPS2Jx0c38oQij8i3i4Yr7BAeirVgIgA57j70Y,Berlin,BB,DE,2024-03-15
6,"Need to Apply,Applied",False,Boston Red Sox,SWE,Software Engineer Intern,In-person,https://app.ripplematch.com/v2/student/applications/applied,Boston,MA,USA,2024-03-15
7,Need to Apply,True,Skydio,SWE,Wireless Software Engineer Intern,In-person,https://simplify.jobs/p/63c973ca-50e4-4917-911b-1089b021c0f8/Wireless-Software-Engineer-Intern,San Mateo,CA,USA,2024-03-15
8,Need to Apply,True,Dell,SWE,Intern Software Engineer,Remote,https://simplify.jobs/p/01091dd9-6adc-414b-a016-9b428c1f7aba/Intern-Software-Engineer,,,USA,2024-03-15
9,"Need to Apply,Applied",False,IBM,SWE,"2024 Summer Intern: Software Engineer (DATA&AI, SJ)",In-person,https://careers.ibm.com/job/19956300/2024-summer-intern-software-engineer-data-ai-sj-san-jose-ca/?codes=WEB_SEARCH_NA,San Jose,CA,USA,2024-03-13
10,"Need to Apply,Applied",False,IBM,SWE,2024 Summer Intern Technical Solutions Engineer,In-person,https://careers.ibm.com/job/20030397/2024-summer-intern-technical-solutions-engineer-remote/?codes=WEB_SEARCH_NA,Reston,VA,USA,2024-03-13
